,Argument ID,Conclusion Farsi,Stance Farsi,Premise
0,X00,باید مهربان بود,به نفع,و قال ع اذا قدرت علی عدوک فاجعل العفو عنه شکرا للقدره علیه 
1,X01,مردم را باید از کارهای بد باز داشت,در مقابل,عیب رندان مکن ای زاهد پاکیزه سرشت که گناه دگران بر تو نخواهند نوشت من اگر نیکم و گر بد تو برو خود را باش هر کسی آن درود عاقبت کار که کشت همه کس طالب یارند چه هشیار و چه مست همه جا خانه عشق است چه مسجد چه کنشت سر تسلیم من و خشت در میکده‌ها مدعی گر نکند فهم سخن گو سر و خشت ناامیدم مکن از سابقه لطف ازل تو پس پرده چه دانی که که خوب است و که زشت نه من از پرده تقوا به درافتادم و بس پدرم نیز بهشت ابد از دست بهشت حافظا روز اجل گر به کف آری جامی یک سر از کوی خرابات برندت به بهشت
2,X02,در انتخاب دوست باید دقت کنیم,به نفع,در غم یار، یار بایستی یا غمم را کنار بایستی زانچ کردم کنون پشیمانم دل امسال پار بایستی دل من شیر بیشه را ماند شیر در مرغزار بایستی تا بدانستیی ز دشمن و دوست زندگانی دو بار بایستی دشمن عیب جوی بسیارست دوستی غمگسار بایستی ماهی جان ما که پیچانست بر لب جویبار بایستی چون رضای دل تو در غم ماست یک چه باشد؟ هزار بایستی یار لاحول گوی را چه کنم یار شیرین عذار بایستی خوک دنیاست صید این خامان آهوی جان شکار بایستی همره بی وفا همی لنگد همره راهوار بایستی صد هزاران سخن نهان دارم گوش را گوشوار بایستی
3,X03,باید قبل از سخن گفتن فکر کرد.,به نفع,Think before you speak. Read before you think
4,X04,میزان موفقیت به اندازه میزان رنج و تلاش است,به نفع,All happiness depends on courage and work
5,X05,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,به نفع,Whatever it is you're seeking won't come in the form you're expecting
6,X06,باید خاک وطن را دوست داشت,به نفع,خاکم به سر ز غصه به سر خاک اگر کنم خاک وطن که رفت چه خاکی به سر کنم
7,X07,باید شکرگزار باشیم,به نفع,به همه حال شکر باید کرد که مبادا ز بد بتر گردد
8,X08,باید به قلب و احساسات توجه کرد,به نفع,هر کجا عشق آید و ساکن شود هر چه نا ممکن بود ممکن شود
9,X09,ثروت چیز خوبی است,در مقابل,جزای حسن عمل بین که روزگار هنوز خراب می‎کند بارگاه کسری را
10,X010,کنترل نکردن زبان انسان را بی‌ارزش می‌کند.,به نفع,گفتار بسیار نه از نغزیست ولوله طبل ز بی مغزییست
11,X011,باید سعی کنیم نیکو عمل کنیم,به نفع,جزای حسن عمل بین که روزگار هنوز خراب میکند بارگاه کسری را
12,X012,باید به قلب و احساسات توجه کرد,به نفع,به هوش باش دلی را بسهو نخراشی به ناخنی که توانی گره گشایی کرد
13,X013,نباید براساس ظاهر افراد را قضاوت کرد,در مقابل,و قال ع من وضع نفسه مواضع التهمه فلا یلومن من اساء به الظن 
14,X014,انسان واقعی در برابر ظلم سکوت نمی‌کند,به نفع,I decided it is better to scream. Silence is the real crime against humanity
15,X015,آخرت را بر دنیا باید ترجیح داد,به نفع,و قال ع لا یترک الناس شیئا من امر دینهم لاستصلاح دنیاهم الا فتح الله علیهم ما هو اضر منه 
16,X016,باید اهل یاری کردن یکدیگر بود,به نفع,بیا تا قدر یکدیگر بدانیم که تا ناگه ز یکدیگر نمانیم
17,X017,باید سختی‌ها را تحمل کرد,در مقابل,"Life is to be enjoyed, not endure"
18,X018,باید اهل یادگیری و دانش باشیم,به نفع,ای بی‌خبر بکوش که صاحب خبر شوی تا راهرو نباشی کی راهبر شوی در مکتب حقایق پیش ادیب عشق هان ای پسر بکوش که روزی پدر شوی دست از مس وجود چو مردان ره بشوی تا کیمیای عشق بیابی و زر شوی خواب و خورت ز مرتبه خویش دور کرد آن گه رسی به خویش که بی خواب و خور شوی گر نور عشق حق به دل و جانت اوفتد بالله کز آفتاب فلک خوبتر شوی یک دم غریق بحر خدا شو گمان مبر کز آب هفت بحر به یک موی تر شوی از پای تا سرت همه نور خدا شود در راه ذوالجلال چو بی پا و سر شوی وجه خدا اگر شودت منظر نظر زین پس شکی نماند که صاحب نظر شوی بنیاد هستی تو چو زیر و زبر شود در دل مدار هیچ که زیر و زبر شوی گر در سرت هوای وصال است حافظا باید که خاک درگه اهل هنر شوی
19,X019,باید به قلب و احساسات توجه کرد,به نفع,"The most beautiful things in the world cannot be seen or touched, they are felt with the heart"
20,X020,نباید براساس ظاهر افراد را قضاوت کرد,به نفع,نه هر که چهره برافروخت دلبری داند نه هر که آینه سازد سکندری داند نه هر که طرف کله کج نهاد و تند نشست کلاه داری و آیین سروری داند تو بندگی چو گدایان به شرط مزد مکن که دوست خود روش بنده پروری داند غلام همت آن رند عافیت سوزم که در گداصفتی کیمیاگری داند وفا و عهد نکو باشد ار بیاموزی وگرنه هر که تو بینی ستمگری داند بباختم دل دیوانه و ندانستم که آدمی بچه‌ای شیوه پری داند هزار نکته باریکتر ز مو این جاست نه هر که سر بتراشد قلندری داند مدار نقطه بینش ز خال توست مرا که قدر گوهر یک دانه جوهری داند به قد و چهره هر آن کس که شاه خوبان شد جهان بگیرد اگر دادگستری داند ز شعر دلکش حافظ کسی بود آگاه که لطف طبع و سخن گفتن دری داند
21,X021,باید حقوق دیگران را رعایت کنیم,در مقابل,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love"
22,X022,باید سختی‌ها را تحمل کرد,به نفع,و قال ع العجز افه و الصبر شجاعه و الزهد ثروه و الورع جنه و نعم القرین الرضی 
23,X023,باید خاک وطن را دوست داشت,به نفع,چرا نه در پی عزم دیار خود باشم چرا نه خاک سر کوی یار خود باشم غم غریبی و غربت چو بر نمی‌تابم به شهر خود روم و شهریار خود باشم ز محرمان سراپرده وصال شوم ز بندگان خداوندگار خود باشم چو کار عمر نه پیداست باری آن اولی که روز واقعه پیش نگار خود باشم ز دست بخت گران خواب و کار بی‌سامان گرم بود گله‌ای رازدار خود باشم همیشه پیشه من عاشقی و رندی بود دگر بکوشم و مشغول کار خود باشم بود که لطف ازل رهنمون شود حافظ وگرنه تا به ابد شرمسار خود باشم
24,X024,باید سختی‌ها را تحمل کرد,به نفع,به همه حال شکر باید کرد که مبادا ز بد بتر گردد
25,X025,نباید مغرور باشیم,در مقابل,Don't be so humble - you are not that great
26,X026,باید به یتیمان کمک کرد,به نفع,تا توانی به جهان خدمت محتاجان کن به دمی یا درمی یا قدمی یا قلمی
27,X027,باید به زیر دستان احترام گذاشت,به نفع,بنازم به بزم محبت که آنجا گدایی به شاهی مقابل نشیند
28,X028,آزار دیگران یکی از صفات مذموم است که باید از آن پرهیز کرد,به نفع,دل که رنجید از کسی خرسند کردن مشکل است شیشه بشکسته را پیوند کردن مشکل است
29,X029,باید اهل یاری کردن یکدیگر بود,به نفع,حاصل زندگی جز این نبود که بمیرد کسی برای کسی
30,X030,لزوما رسیدن به چیزی که آرزو داریم به نفع ما نیست,به نفع,We must be willing to let go of the life we planned so as to have the life that is waiting for us
31,X031,باید در برابر مشکلات استقامت داشته باشیم,در مقابل,امید وصل به اندوه انتظار نیرزد نشاط باده به دردسر خمار نیرزد
